snapped_at,price,market_cap,total_volume
2019-05-08 00:00:00 UTC,3.2699771961339086,0.0,6703686.104207669
2019-05-09 00:00:00 UTC,3.308074565927089,0.0,10600884.577320728
2019-05-10 00:00:00 UTC,3.0821654302850994,0.0,33710121.66526043
2019-05-11 00:00:00 UTC,3.036929884275017,0.0,885232.4999113342
2019-05-12 00:00:00 UTC,2.7759001072054463,0.0,942632.8888776248
2019-05-13 00:00:00 UTC,2.542384983272884,0.0,1301589.2002250461
2019-05-14 00:00:00 UTC,2.534265593053488,0.0,34820288.09153446
2019-05-15 00:00:00 UTC,2.52254390723583,0.0,94857128.31385276
2019-05-16 00:00:00 UTC,2.5272076536804366,0.0,32995695.058725353
2019-05-17 00:00:00 UTC,2.502664641259557,0.0,64089491.40589057
2019-05-18 00:00:00 UTC,2.3611831862999466,0.0,7113818.721728071
2019-05-19 00:00:00 UTC,2.3804342367377007,0.0,471148.785538611
2019-05-20 00:00:00 UTC,2.4170810288844704,0.0,880709.2289430579
2019-05-21 00:00:00 UTC,2.3765984639950517,0.0,2910317.195512153
2019-05-22 00:00:00 UTC,2.4784212636952225,0.0,11457607.05018788
2019-05-23 00:00:00 UTC,2.311059170653423,0.0,17426081.16749751
2019-05-24 00:00:00 UTC,1.9616672699956184,0.0,48101782.819416165
2019-05-25 00:00:00 UTC,1.1603295470835766,0.0,16003575.671402778
2019-05-26 00:00:00 UTC,1.1978613601194164,0.0,2735388.281405201
2019-05-27 00:00:00 UTC,1.2259683103279415,0.0,2279616.3631034154
2019-05-28 00:00:00 UTC,1.2169254041628965,0.0,1492132.3333496687
2019-05-29 00:00:00 UTC,1.477070689901528,0.0,2730881.1274704416
2019-05-30 00:00:00 UTC,1.7572693658314642,0.0,3808182.776471076
2019-05-31 00:00:00 UTC,1.6676734326477676,0.0,1975054.9926676801
2019-06-01 00:00:00 UTC,1.6729046637789666,0.0,944346.2340328032
2019-06-02 00:00:00 UTC,1.6476723159089937,0.0,411080.0042942087
2019-06-03 00:00:00 UTC,1.7192787323582213,0.0,393766.2232495397
2019-06-04 00:00:00 UTC,1.532508528079019,0.0,1418223.1134326158
2019-06-05 00:00:00 UTC,1.5096808176234209,0.0,1928251.014969543
2019-06-06 00:00:00 UTC,1.627105461506912,0.0,2738783.013454359
2019-06-07 00:00:00 UTC,1.6003809259229993,0.0,361413.37794729683
2019-06-08 00:00:00 UTC,1.7125265758877692,0.0,1628345.059102616
2019-06-09 00:00:00 UTC,1.7064789135096643,0.0,562811.027824358
2019-06-10 00:00:00 UTC,1.6991583468756104,0.0,308667.1284926026
2019-06-11 00:00:00 UTC,1.8535165399366227,0.0,1800218.9068177487
2019-06-12 00:00:00 UTC,1.7407907969434395,0.0,2382493.6222838876
2019-06-13 00:00:00 UTC,1.7360580948385473,0.0,998608.2962437699
2019-06-14 00:00:00 UTC,1.6715008724871325,0.0,2247950.813671782
2019-06-15 00:00:00 UTC,1.6339704898541894,0.0,1192013.245523542
2019-06-16 00:00:00 UTC,1.586629308513413,0.0,1025244.4968894958
2019-06-17 00:00:00 UTC,1.5764353092609262,0.0,572221.9086752374
2019-06-18 00:00:00 UTC,1.5645844478610678,0.0,859629.6922677173
2019-06-19 00:00:00 UTC,1.573795468178742,0.0,1226183.3576188218
2019-06-20 00:00:00 UTC,1.5646492825727991,0.0,819133.2950458501
2019-06-21 00:00:00 UTC,1.551450044889391,0.0,1365475.5691211529
2019-06-22 00:00:00 UTC,1.7209445311904885,0.0,2254456.4231562633
2019-06-23 00:00:00 UTC,1.673723688083375,0.0,1020850.2051621842
2019-06-24 00:00:00 UTC,1.6571032729789537,0.0,847529.6934119504
2019-06-25 00:00:00 UTC,1.7898125900710233,0.0,1505108.1902640732
2019-06-26 00:00:00 UTC,1.7192603535176103,0.0,592219.3812625747
2019-06-27 00:00:00 UTC,1.7021284789656486,0.0,561017.2657029943
2019-06-28 00:00:00 UTC,1.579593918831176,0.0,622315.1823939912
2019-06-29 00:00:00 UTC,1.6438352797409659,0.0,302083.84022164263
2019-06-30 00:00:00 UTC,1.6394694590515038,0.0,127577.44165216305
2019-07-01 00:00:00 UTC,1.5901579805439845,0.0,162837.7312362881
2019-07-02 00:00:00 UTC,1.569062718814477,0.0,325098.387458516
2019-07-03 00:00:00 UTC,1.5464980089981382,0.0,201781.8661772032
2019-07-04 00:00:00 UTC,1.5453348132609839,0.0,595416.8844047524
2019-07-05 00:00:00 UTC,1.6064149579201212,0.0,1037214.2257895649
2019-07-06 00:00:00 UTC,1.6134986968761305,0.0,1121387.6590688583
2019-07-07 00:00:00 UTC,1.5915747036700427,0.0,477556.1079251053
2019-07-08 00:00:00 UTC,1.6216469458508243,0.0,2544886.703076636
2019-07-09 00:00:00 UTC,1.581550461702444,0.0,418279.92161554843
2019-07-10 00:00:00 UTC,1.5624123850062726,0.0,418573.25032250385
2019-07-11 00:00:00 UTC,1.5503974888563885,0.0,484082.4918123599
2019-07-12 00:00:00 UTC,1.5158664471306793,0.0,362881.30528134404
2019-07-13 00:00:00 UTC,1.5229833051046835,0.0,256961.1578530347
2019-07-14 00:00:00 UTC,1.5574277486613155,0.0,199459.33411659955
2019-07-15 00:00:00 UTC,1.4866422647198445,0.0,219777.0991543138
2019-07-16 00:00:00 UTC,1.534640254600455,0.0,395306.7080063206
2019-07-17 00:00:00 UTC,1.4389045743672986,0.0,257447.8386832981
2019-07-18 00:00:00 UTC,1.4094544959804507,0.0,163950.3017121815
2019-07-19 00:00:00 UTC,1.4329975753349125,0.0,182651.66904894667
2019-07-20 00:00:00 UTC,1.3894604861854345,0.0,375264.44901197084
2019-07-21 00:00:00 UTC,1.3953825746528277,0.0,111871.26478715107
