snapped_at,price,market_cap,total_volume
2018-02-06 00:00:00 UTC,764.1315016144791,472407489.9801162,15972.96870157365
2018-02-07 00:00:00 UTC,895.1695074789933,553418854.269723,35968.152041862624
2018-02-08 00:05:09 UTC,925.3252182152464,572061959.0067754,27475.91106993734
2018-02-09 00:00:00 UTC,997.9235645752053,616944289.4802,9185.831504614098
2018-02-10 00:00:00 UTC,1091.628667140452,674875407.6289074,26352.691283026263
2018-02-11 00:00:00 UTC,1056.1064663603543,652914588.4850291,5371.416804804246
2018-02-12 00:00:00 UTC,1005.9560722727498,621910210.6490376,6175.357693533437
2018-02-13 00:00:00 UTC,1050.989599805277,649751198.3084168,9655.11738402933
2018-02-14 00:00:00 UTC,1030.1369322488965,636859495.3503708,1390.488916521382
2018-02-15 00:00:00 UTC,1098.041524899023,678840015.8552732,8222.45475898553
2018-02-16 00:00:00 UTC,1164.190952550789,719735444.2135693,7282.568361334384
2018-02-17 00:00:00 UTC,1158.3483498004293,716123383.6004199,22279.002321288466
2018-02-18 00:00:00 UTC,1141.7106982691848,705837521.5695616,10650.857736522677
2018-02-19 00:00:00 UTC,1083.7855770227786,670026589.7116383,47775.29216656662
2018-02-20 00:00:00 UTC,1129.200293591923,698103239.1067473,22204.775221069965
2018-02-21 00:00:00 UTC,1081.5284781528608,668631187.9914869,21899.21190018485
2018-02-22 00:00:00 UTC,963.4497051742961,595631584.3304948,19100.614603196245
2018-02-23 00:00:00 UTC,964.8077341695846,596471155.880194,19124.802960911948
2018-02-24 00:00:00 UTC,995.0070267865774,615141204.1562122,1617.0937310298598
2018-02-25 00:00:00 UTC,981.0285034574989,606499289.6355226,37012.72659285849
2018-02-26 00:00:00 UTC,1021.2723269885873,631379148.1695004,9628.36122774669
2018-02-27 00:00:00 UTC,1023.7569874182283,632915234.8175964,2644.292173502054
2018-02-28 00:00:00 UTC,1043.0338942853432,644832758.3962392,338.4791376462465
2018-03-01 00:00:00 UTC,1059.9020658844343,655261134.387602,9198.49006064582
2018-03-02 00:00:00 UTC,1034.231355934124,639390782.7164415,470208.3603145443
2018-03-03 00:00:00 UTC,1020.1714465435233,630698553.0537094,437495.02620859933
2018-03-04 00:00:00 UTC,1016.9502802439016,628707137.8546268,364479.6391151956
2018-03-05 00:00:00 UTC,959.9161459733938,593447039.0928392,292109.8873180609
2018-03-06 00:00:00 UTC,963.4857435525091,595653864.2649806,427779.2893678547
2018-03-07 00:00:00 UTC,959.9349035520502,593458635.5531769,230547.92677542675
2018-03-08 00:00:00 UTC,855.9506088789126,529172633.0259924,356582.641427792
2018-03-09 00:00:00 UTC,841.6183803055607,520312048.01954615,230045.89829180954
2018-03-10 00:00:00 UTC,825.2571461663724,510197074.9601441,274714.6192646103
2018-03-11 00:00:00 UTC,798.1063016072397,493411662.63004065,1326072.428800438
2018-03-12 00:00:00 UTC,833.2291737074358,515125605.6028006,776625.4453843635
2018-03-13 00:00:00 UTC,814.7533508680959,503703334.6004812,825316.2703233077
2018-03-14 00:00:00 UTC,811.4132648249076,501638399.886173,515747.31957221293
2018-03-15 00:00:00 UTC,748.1303804457198,462515148.8421964,522345.3295856827
2018-03-16 00:00:00 UTC,737.2398058573032,455782290.69554883,524701.414609253
2018-03-17 00:00:00 UTC,727.5175372672882,449771712.029681,570211.3417445961
2018-03-18 00:00:00 UTC,672.7443757977361,415909409.9606828,106180.85786253063
2018-03-19 00:00:00 UTC,674.4644781829329,416972825.4180783,383357.7955502416
2018-03-20 00:00:00 UTC,700.8246895641291,433269446.1798524,438029.01944349526
2018-03-21 00:00:00 UTC,708.0186629853564,437716961.98011094,412518.2733274759
2018-03-22 00:00:00 UTC,725.3836397356351,448452476.82648224,36870.442482558865
2018-03-23 00:00:00 UTC,688.1394605583902,425427082.42209244,98556.9046176827
2018-03-24 00:00:00 UTC,719.355993650379,444726017.24248654,44013.78068341421
2018-03-25 00:00:00 UTC,685.8841981895683,424032816.0783404,81373.48160312053
2018-03-26 00:00:00 UTC,682.6335600494131,422023180.5622285,49058.629637400016
2018-03-27 00:00:00 UTC,641.893188924522,396836342.4024294,162478.4806617609
2018-03-28 00:00:00 UTC,589.6282258971538,364524678.8399456,90019.98520432171
2018-03-29 00:00:00 UTC,584.8180748383318,361550908.7711522,88782.19899531291
2018-03-30 00:00:00 UTC,495.9911891090752,306635640.86052537,1682292.494465397
2018-03-31 00:00:00 UTC,513.8211641192561,317658630.6511195,94900.9193564907
2018-04-01 00:00:00 UTC,522.1132535933724,322785032.54252344,35277.34071436142
2018-04-02 00:00:00 UTC,492.4184344409312,304426863.887548,21028.20330492577
2018-04-03 00:00:00 UTC,499.5489603826139,308835154.6794227,43313.28463760241
2018-04-04 00:00:00 UTC,535.1856684125842,330866765.4113751,22200.510188237753
2018-04-05 00:00:00 UTC,501.4808174659734,310029482.8203538,35389.325836914395
2018-04-06 00:00:00 UTC,506.4793445471654,313119712.220705,24478.177595631845
2018-04-07 00:00:00 UTC,488.4226068024803,301956531.3582838,48716.888346418134
2018-04-08 00:00:00 UTC,499.75980052397125,308965501.9583337,34815.85699766993
2018-04-09 00:00:00 UTC,521.9428592464982,322679689.9862441,15702.613880781719
2018-04-10 00:00:00 UTC,532.0220606213602,328910934.4938223,162594.12602282458
2018-04-11 00:00:00 UTC,553.9275370675925,342453513.3862236,69042.86997176778
2018-04-12 00:00:00 UTC,586.4280518345212,362546241.6295523,638828.40530547
2018-04-13 00:00:00 UTC,656.3541924570275,405776539.6943232,104178.33811306395
2018-04-14 00:00:00 UTC,694.3540152268164,429269094.1256442,93285.04616285313
2018-04-15 00:00:00 UTC,697.5575417930617,431249603.94764096,57281.400384481196
2018-04-16 00:00:00 UTC,753.276622896664,465696700.0201588,71978.0255664967
2018-04-17 00:00:00 UTC,753.4311423932892,465792228.2995184,80496.01838610775
2018-04-18 00:00:00 UTC,743.2555342016544,459501382.39842045,34329.55872888308
2018-04-19 00:00:00 UTC,765.958659454602,473537090.1172997,48810.67997084529
2018-04-20 00:00:00 UTC,843.0613294460261,521204119.5807578,74425.5131490123
2018-04-21 00:00:00 UTC,883.4332129909554,546163148.4009724,60291.563491823596
2018-04-22 00:00:00 UTC,910.3245119599161,562788102.3799549,95401.25854135254
2018-04-23 00:00:00 UTC,934.7232561520152,577872089.2043481,107971.6957408884
2018-04-24 00:00:00 UTC,946.5805368383529,585202592.1285013,81826.36760077976
2018-04-25 00:00:00 UTC,1035.6681698494936,640279061.3097126,527347.8525158485
2018-04-26 00:00:00 UTC,895.6833935788381,553736553.045458,264069.4100807787
2018-04-27 00:00:00 UTC,1012.8541650228477,626174804.7337451,139188.76467916716
2018-04-28 00:00:00 UTC,1005.5420953792845,621654278.5421443,37036.184643628454
2018-04-29 00:00:00 UTC,1058.8933964299463,654637546.6880928,62462.058079607436
2018-04-30 00:00:00 UTC,1069.012635401645,660893543.5590881,264848.3639076631
2018-05-01 00:00:00 UTC,1040.9810851085276,643563654.2844747,66638.88095337574
2018-05-02 00:00:00 UTC,1038.932459234927,642297136.4078903,37474.47959282996
2018-05-03 00:00:00 UTC,1053.5046506415176,651306073.1568042,71310.0097809049
2018-05-04 00:00:00 UTC,1129.40691163978,698230976.1692379,12454.941180920787
2018-05-05 00:00:00 UTC,1141.9040139452384,705957034.7333368,124736.99217516245
2018-05-06 00:00:00 UTC,1131.819173611728,699722304.0636314,197475.63651239272
2018-05-07 00:00:00 UTC,1067.012301131954,659656880.9042057,138282.72036553768
2018-05-08 00:00:00 UTC,1016.6020681746282,628491863.4034641,175985.39601912428
2018-05-09 00:00:00 UTC,1007.6697158153473,622969633.0690906,85619.50899701109
2018-05-10 00:00:00 UTC,1025.218381151777,633818709.3427008,75924.67919459743
2018-05-11 00:00:00 UTC,1063.9682638983102,657774971.8533245,1732322.1135965982
2018-05-12 00:00:00 UTC,956.8740073963,591566303.8445997,394583.3941362458
2018-05-13 00:00:00 UTC,941.0155042992509,581762133.1919173,252541.33842016323
2018-05-14 00:00:00 UTC,976.5545982006981,603733396.1364212,108858.856876238
2018-05-15 00:00:00 UTC,952.5464910157347,588890912.0476756,400037.61240022385
2018-05-16 00:00:00 UTC,913.5300496596722,564769855.5409998,271905.96279434295
2018-05-17 00:00:00 UTC,901.3672454947575,557250469.4477329,183046.08392508834
2018-05-18 00:00:00 UTC,862.8173852936469,533417866.47532076,42345.73520904748
2018-05-19 00:00:00 UTC,906.7570474973091,560582595.9601665,32561.22679226964
2018-05-20 00:00:00 UTC,887.2268771157318,548508497.7855046,168946.90046679458
2018-05-21 00:00:00 UTC,914.6756243909769,565478081.9159849,382026.88030675164
2018-05-22 00:00:00 UTC,903.412548479372,558514933.0213052,92111.52498807071
